Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_MTN_100_SQ-110,TRF_MTN_300_SQ-110,TRF_MTN_700_SQ-110,TRF_MTN_1300_SQ-110
2019/08/25 00:00,4.664901,-3.060606,-3.224978,-3.224978,
2019/08/25 00:15,4.664901,-3.060606,-2.896233,-3.224978,
2019/08/25 00:30,5.158018,-2.731861,-3.718095,-3.553723,
2019/08/25 00:45,4.993646,-3.553723,-3.060606,-3.553723,
2019/08/25 01:00,4.993646,-3.060606,-3.224978,-2.896233,
2019/08/25 01:15,4.664901,-2.731861,-3.060606,-3.553723,
2019/08/25 01:30,4.664901,-3.38935,-3.224978,-3.553723,
2019/08/25 01:45,4.829273,-2.896233,-3.224978,-3.882468,
2019/08/25 02:00,4.993646,-2.896233,-3.38935,-3.38935,
2019/08/25 02:15,4.664901,-3.224978,-3.060606,-3.718095,
2019/08/25 02:30,4.829273,-2.896233,-2.731861,-3.718095,
2019/08/25 02:45,5.158018,-2.567488,-3.553723,-3.553723,
2019/08/25 03:00,4.993646,-3.718095,-2.896233,-3.718095,
2019/08/25 03:15,4.993646,-3.060606,-3.38935,-3.060606,
2019/08/25 03:30,4.829273,-3.553723,-3.224978,-3.224978,
2019/08/25 03:45,5.486763,-2.896233,-3.718095,-3.882468,
2019/08/25 04:00,4.993646,-3.060606,-3.718095,-2.896233,
2019/08/25 04:15,4.829273,-2.896233,-3.224978,-3.224978,
2019/08/25 04:30,4.993646,-2.567488,-3.224978,-3.38935,
2019/08/25 04:45,5.322391,-2.896233,-3.224978,-3.718095,
2019/08/25 05:00,4.664901,-3.553723,-2.896233,-3.718095,
2019/08/25 05:15,4.993646,-2.896233,-2.731861,-3.553723,
2019/08/25 05:30,4.993646,-2.731861,-3.224978,-3.553723,
2019/08/25 05:45,4.993646,-2.074371,-2.074371,-2.567488,
2019/08/25 06:00,7.29486,1.706196,3.514293,5.815508,
2019/08/25 06:15,11.89729,11.2398,18.800934,27.18393,
2019/08/25 06:30,16.664091,21.759638,31.786359,42.963687,
2019/08/25 06:45,23.89648,35.895671,52.990408,71.893243,
