Please note that (-9999) indicates a null value
Relative humidity (RH) [%]

DateTime,TRF_MTN_100_HMP45,TRF_MTN_300_HMP45,TRF_MTN_700_HMP45,TRF_MTN_1300_HMP45
2019/08/25 00:00,96.8265,93.841495,94.37735,96.984297,
2019/08/25 00:15,96.78705,93.673835,94.153803,96.796913,
2019/08/25 00:30,96.418856,93.933544,94.058467,96.78705,
2019/08/25 00:45,96.678564,93.772459,94.22284,96.931698,
2019/08/25 01:00,96.320232,93.779034,94.04203,96.81335,
2019/08/25 01:15,96.277495,93.381252,94.140653,96.852799,
2019/08/25 01:30,96.382694,93.851358,94.137366,97.063196,
2019/08/25 01:45,95.9882,93.502888,93.894095,96.767325,
2019/08/25 02:00,96.198597,93.562062,94.278726,96.803487,
2019/08/25 02:15,96.093398,93.604799,93.825058,96.875811,
2019/08/25 02:30,96.113123,93.591649,93.779034,96.579941,
2019/08/25 02:45,96.034224,93.41084,93.795471,97.017172,
2019/08/25 03:00,96.034224,93.394402,93.982856,96.879099,
2019/08/25 03:15,95.942176,93.437139,94.107779,96.964572,
2019/08/25 03:30,95.620006,93.354953,93.772459,96.869236,
2019/08/25 03:45,95.600281,93.059082,93.920394,96.915261,
2019/08/25 04:00,94.771844,93.259617,93.884232,97.066483,
2019/08/25 04:15,95.80739,93.07552,94.01573,97.040184,
2019/08/25 04:30,95.65288,93.197155,93.890807,96.806775,
2019/08/25 04:45,95.468783,93.253042,94.035455,97.040184,
2019/08/25 05:00,95.587131,93.124831,93.617949,96.984297,
2019/08/25 05:15,95.583844,93.128119,93.864508,96.934985,
2019/08/25 05:30,95.67918,93.193868,93.456864,96.790338,
2019/08/25 05:45,95.534532,92.996621,93.897382,96.885674,
2019/08/25 06:00,95.544394,92.996621,94.009155,97.000734,
2019/08/25 06:15,95.590419,92.904572,93.795471,96.957998,
2019/08/25 06:30,95.863277,92.937447,93.930257,96.063811,
2019/08/25 06:45,95.929026,92.996621,93.39769,96.267633,
2019/08/25 07:00,95.981625,92.957171,93.677123,95.708767,
2019/08/25 07:15,96.392556,93.282629,92.7139,95.718629,
2019/08/25 07:30,96.543779,92.963746,92.286532,95.235374,
2019/08/25 07:45,95.82054,92.260232,91.826289,94.584459,
2019/08/25 08:00,95.462208,92.115584,91.862451,94.259001,
2019/08/25 08:15,95.419471,92.316119,91.73424,93.262904,
2019/08/25 08:30,91.869026,89.350839,88.282418,91.737528,
2019/08/25 08:45,91.520556,89.383714,87.01675,90.853204,
2019/08/25 09:00,91.977512,89.804507,87.092362,88.433641,
2019/08/25 09:15,91.638904,88.611163,87.17126,88.82156,
2019/08/25 09:30,91.770402,89.025382,86.181738,88.141058,
2019/08/25 09:45,91.536993,88.515827,88.532264,89.281803,
2019/08/25 10:00,90.366661,88.51254,86.579519,89.883406,
2019/08/25 10:15,90.843341,88.788686,86.770192,86.033803,
2019/08/25 10:30,90.527746,88.532264,87.667665,89.577673,
2019/08/25 10:45,90.212151,88.111471,87.010175,90.465285,
2019/08/25 11:00,88.805123,86.832653,85.218515,84.90292,
2019/08/25 11:15,90.649382,85.948329,86.194888,87.023325,
2019/08/25 11:30,88.016135,86.060102,85.024556,85.75437,
2019/08/25 11:45,86.530208,79.56739,84.534726,84.24543,
2019/08/25 12:00,84.347341,80.941544,82.243374,82.082289,
2019/08/25 12:15,85.530823,82.240086,82.769365,78.462807,
2019/08/25 12:30,83.495892,82.174337,82.072426,79.531228,
2019/08/25 12:45,81.355762,79.314256,79.7219,68.413074,
2019/08/25 13:00,81.96394,77.496296,80.254467,75.191794,
2019/08/25 13:15,81.326175,76.385139,78.821139,74.508005,
2019/08/25 13:30,78.972361,77.003179,78.351033,64.159114,
2019/08/25 13:45,79.396442,77.732993,77.765867,61.673802,
2019/08/25 14:00,79.984896,75.109608,76.569236,57.528328,
2019/08/25 14:15,79.616701,72.581559,79.899422,56.75249,
2019/08/25 14:30,80.632523,73.150288,79.478629,52.314433,
2019/08/25 14:45,81.263714,73.386985,73.607244,48.362919,
2019/08/25 15:00,81.467535,72.032555,71.631487,49.030271,
2019/08/25 15:15,81.421511,72.311989,72.308701,48.875761,
2019/08/25 15:30,80.747584,72.134466,71.174531,53.921996,
2019/08/25 15:45,81.184815,72.818256,71.624912,52.814126,
2019/08/25 16:00,81.283438,72.489511,71.670936,54.549899,
2019/08/25 16:15,81.411649,71.805721,69.619567,53.067259,
2019/08/25 16:30,81.424799,71.108782,71.838596,53.902271,
2019/08/25 16:45,80.116394,71.131794,72.805106,57.298207,
2019/08/25 17:00,81.779843,75.303568,72.782094,55.697219,
2019/08/25 17:15,82.595131,76.441025,73.452734,55.213964,
2019/08/25 17:30,83.084961,76.60211,73.337673,56.798514,
2019/08/25 17:45,87.720264,78.150499,74.376507,58.757834,
2019/08/25 18:00,88.137771,79.041398,76.648135,60.079389,
2019/08/25 18:15,87.329058,79.659438,77.588345,63.813932,
2019/08/25 18:30,87.746564,80.103244,79.39973,65.41492,
2019/08/25 18:45,87.966823,81.326175,81.871892,71.733398,
2019/08/25 19:00,87.329058,82.489932,83.535341,77.253025,
2019/08/25 19:15,86.678143,83.107973,84.695811,81.612183,
2019/08/25 19:30,87.115374,84.468977,85.685333,83.821349,
2019/08/25 19:45,87.187698,84.955519,86.477609,85.839843,
2019/08/25 20:00,88.196945,85.205366,86.947714,87.670953,
2019/08/25 20:15,88.049009,86.145576,87.98326,88.091746,
2019/08/25 20:30,89.110856,86.878677,87.746564,89.725609,
2019/08/25 20:45,89.380426,86.572945,88.463228,89.998467,
2019/08/25 21:00,89.393576,87.01675,88.864297,91.043876,
2019/08/25 21:15,90.103665,87.605204,89.038532,91.10305,
2019/08/25 21:30,90.018192,87.628216,89.334402,91.74739,
2019/08/25 21:45,90.623082,88.443503,89.354127,91.839439,
2019/08/25 22:00,90.468572,88.594726,89.413301,91.967649,
2019/08/25 22:15,90.994564,88.759098,89.551374,92.155034,
2019/08/25 22:30,90.840054,88.83471,89.755196,92.414742,
2019/08/25 22:45,91.310159,88.607876,89.758483,92.707325,
2019/08/25 23:00,91.214823,88.874159,89.912993,92.92101,
2019/08/25 23:15,91.109625,88.742661,89.988605,93.03607,
2019/08/25 23:30,90.748005,88.884022,90.116815,93.108394,
2019/08/25 23:45,91.471244,89.153592,89.945868,93.164281,
2019/08/26 00:00,91.652054,89.33769,89.889981,93.121544,
2019/08/26 00:15,91.1162,89.173317,89.945868,93.065657,
2019/08/26 00:30,91.24441,88.966208,90.14969,93.239892,
2019/08/26 00:45,91.461382,88.782111,90.202289,93.157706,
2019/08/26 01:00,91.74739,88.966208,90.330499,93.23003,
2019/08/26 01:15,91.596167,89.281803,90.346937,93.447001,
2019/08/26 01:30,91.471244,89.291665,90.550758,93.73301,
2019/08/26 01:45,91.517269,89.321252,90.501447,93.703423,
2019/08/26 02:00,91.329884,89.216054,90.675682,93.670548,
2019/08/26 02:15,91.530418,89.317965,90.333787,93.782321,
2019/08/26 02:30,91.750678,89.719034,90.514597,93.825058,
2019/08/26 02:45,91.94135,89.462613,90.912378,93.749447,
2019/08/26 03:00,91.569868,89.403439,90.475147,93.621236,
2019/08/26 03:15,91.737528,89.603973,90.728281,93.368103,
2019/08/26 03:30,91.661916,89.469188,90.892653,94.025593,
2019/08/26 03:45,91.681641,89.738758,90.958402,94.127504,
2019/08/26 04:00,91.839439,89.446175,90.711843,94.176815,
2019/08/26 04:15,92.187908,89.495487,90.915665,94.344475,
2019/08/26 04:30,91.596167,89.400151,91.172086,94.485836,
2019/08/26 04:45,91.707941,89.17003,91.030726,94.397074,
2019/08/26 05:00,91.61918,88.999082,91.109625,94.568022,
2019/08/26 05:15,91.921625,89.216054,91.471244,94.426661,
2019/08/26 05:30,91.767115,89.534937,90.912378,94.623908,
2019/08/26 05:45,91.816427,89.456038,91.099763,94.101204,
2019/08/26 06:00,92.332556,89.511924,90.932103,94.489123,
2019/08/26 06:15,92.289819,89.896556,91.504119,94.186678,
2019/08/26 06:30,91.931487,89.870256,90.577058,93.03607,
2019/08/26 06:45,92.533091,91.040588,91.050451,93.657398,
2019/08/26 07:00,92.372005,90.603358,91.080038,93.417414,
2019/08/26 07:15,92.358856,89.791358,90.011617,91.753965,
2019/08/26 07:30,91.717803,89.423163,88.49939,90.958402,
2019/08/26 07:45,91.073463,88.893884,88.02271,89.531649,
