Please note that (-9999) indicates a null value
Temperature (AirTempC) [degC]

DateTime,TRF_MTN_100_HMP45,TRF_MTN_300_HMP45,TRF_MTN_700_HMP45,TRF_MTN_1300_HMP45
2019/08/25 00:00,24.856053,24.43526,24.349786,24.458272,
2019/08/25 00:15,24.948102,24.336636,24.330061,24.310337,
2019/08/25 00:30,24.635794,24.28075,24.145964,24.277462,
2019/08/25 00:45,24.675243,24.08679,24.057203,24.274175,
2019/08/25 01:00,24.556895,24.277462,24.172264,24.277462,
2019/08/25 01:15,24.57662,23.850094,23.984879,24.037478,
2019/08/25 01:30,24.333349,24.06049,24.014466,23.75147,
2019/08/25 01:45,24.155826,23.79092,23.820507,23.767907,
2019/08/25 02:00,24.307049,23.830369,23.879681,23.876393,
2019/08/25 02:15,24.261025,23.761332,23.715308,23.672571,
2019/08/25 02:30,24.149252,23.758045,23.715308,23.754758,
2019/08/25 02:45,24.191988,23.439162,23.619972,23.685721,
2019/08/25 03:00,24.152539,23.682434,23.554223,23.665996,
2019/08/25 03:15,24.004604,23.44245,23.626547,23.534498,
2019/08/25 03:30,23.771195,23.554223,23.518061,23.399713,
2019/08/25 03:45,23.896118,23.422725,23.28794,23.255065,
2019/08/25 04:00,23.695583,23.376701,23.41615,23.192604,
2019/08/25 04:15,23.794207,23.212328,23.320814,23.087405,
2019/08/25 04:30,23.728458,23.363551,23.389851,23.054531,
2019/08/25 04:45,23.685721,23.034806,23.330677,23.097268,
2019/08/25 05:00,23.840231,23.146579,23.10713,23.225478,
2019/08/25 05:15,23.557511,22.906596,23.08083,23.09398,
2019/08/25 05:30,23.44245,22.883583,22.969057,22.96577,
2019/08/25 05:45,23.386563,22.992069,23.199179,22.824409,
2019/08/25 06:00,23.616685,23.08083,22.857284,22.903308,
2019/08/25 06:15,23.353689,23.077543,22.837559,23.001932,
2019/08/25 06:30,23.633122,23.149867,23.24849,23.136717,
2019/08/25 06:45,23.721883,23.495049,23.485187,23.62326,
2019/08/25 07:00,23.988166,23.935567,24.014466,23.685721,
2019/08/25 07:15,24.556895,24.359648,24.865916,24.974401,
2019/08/25 07:30,25.322871,24.895503,25.398482,25.431357,
2019/08/25 07:45,25.382045,25.355745,25.467519,25.842288,
2019/08/25 08:00,25.862013,25.730515,25.914612,26.299243,
2019/08/25 08:15,26.253219,26.190758,26.572102,27.117818,
2019/08/25 08:30,26.332118,26.361705,27.610936,28.541284,
2019/08/25 08:45,26.263082,26.305818,27.374239,29.057414,
2019/08/25 09:00,26.01981,26.332118,27.292053,29.491357,
2019/08/25 09:15,26.315681,26.457041,27.765446,29.839827,
2019/08/25 09:30,26.568814,26.588539,27.518887,29.672167,
2019/08/25 09:45,26.384717,26.309106,27.400539,29.64258,
2019/08/25 10:00,26.575389,26.7036,27.601073,29.9253,
