Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_NETower_100_SQ-110,TRF_NETower_300_SQ-110,TRF_NETower_700_SQ-110,TRF_NETower_1300_SQ-110,TRF_NETower_2000_SQ-110
2019/08/25 00:00,0,0,0,0,0,
2019/08/25 00:15,0,0,0,0,0,
2019/08/25 00:30,0,0,0,0,0,
2019/08/25 00:45,0,0,0,0,0,
2019/08/25 01:00,0,0,0,0,0,
2019/08/25 01:15,0,0,0,0,0,
2019/08/25 01:30,0,0,0,0,0,
2019/08/25 01:45,0,0,0,0,0,
2019/08/25 02:00,0,0,0,0,0,
2019/08/25 02:15,0,0,0,0,0,
2019/08/25 02:30,0,0,0,0,0,
2019/08/25 02:45,0,0,0,0,0,
2019/08/25 03:00,0,0,0,0,0,
2019/08/25 03:15,0,0,0,0,0,
2019/08/25 03:30,0,0,0,0,0,
2019/08/25 03:45,0,0,0,0,0,
2019/08/25 04:00,0,0,0,0,0,
2019/08/25 04:15,0,0,0,0,0,
2019/08/25 04:30,0,0,0,0,0,
2019/08/25 04:45,0,0,0,0,0,
2019/08/25 05:00,0,0,0,0,0,
2019/08/25 05:15,0,0,0,0,0,
2019/08/25 05:30,0,0,0,0,0,
2019/08/25 05:45,0,0,0,0,0,
2019/08/25 06:00,0,0,0.22499999999999998,1.59,3.975,
2019/08/25 06:15,1.9300000000000002,2.725,3.8600000000000003,5.789999999999999,14.755,
2019/08/25 06:30,4.3149999999999995,6.3549999999999995,7.039999999999999,12.715,32.125,
2019/08/25 06:45,6.695,7.945,10.215,15.665,35.644999999999996,
2019/08/25 07:00,9.31,11.579999999999998,14.305000000000001,21.225,55.599999999999994,
2019/08/25 07:15,14.530000000000001,18.615,20.659999999999997,33.715,135.1,
2019/08/25 07:30,15.440000000000001,18.16,20.43,31.785,100.9,
2019/08/25 07:45,16.345,18.615,21.57,34.96,85.60000000000001,
2019/08/25 08:00,18.39,20.43,24.744999999999997,39.955,87.95,
2019/08/25 08:15,21.795,26.675,32.465,56.550000000000004,356.2,
2019/08/25 08:30,26.79,33.144999999999996,41.3,72.2,389.7,
2019/08/25 08:45,28.945,35.754999999999995,45.75,76.15,274.5,
2019/08/25 09:00,30.419999999999998,37.120000000000005,48.150000000000006,77.85,257.9,
2019/08/25 09:15,30.195,36.324999999999996,48.35,84.25,257.7,
2019/08/25 09:30,23.610000000000003,28.15,39.504999999999995,64.5,98.75,
2019/08/25 09:45,32.69,37.46,49.85,81.15,180.5,
2019/08/25 10:00,39.955,45.85,61.4,87.65,142.35,
2019/08/25 10:15,30.875,36.095,51.75,78.3,106.5,
2019/08/25 10:30,46.75,54.25,71.05000000000001,108.3,257.9,
2019/08/25 10:45,45.75,51.3,79.25,115,438,
2019/08/25 11:00,37.915,43.7,56.4,91.7,212.85,
2019/08/25 11:15,55.4,65.85,84.9,133.7,346.1,
2019/08/25 11:30,38.71,45.650000000000006,60.15,97.85,219.20000000000002,
2019/08/25 11:45,72.64999999999999,78.65,98.3,152.10000000000002,222.5,
2019/08/25 12:00,50.85,59.25,77.1,127.6,161.29999999999998,
2019/08/25 12:15,69.9,76.75,102.05,219.65,163,
2019/08/25 12:30,87.75,112.15,260.65000000000003,216.14999999999998,150.29999999999998,
2019/08/25 12:45,167.2,232.7,267.2,204.3,126.89999999999999,
2019/08/25 13:00,128.7,257.7,394.25,155.5,121.44999999999999,
2019/08/25 13:15,220.9,213.2,396.15000000000003,221.9,110.55,
2019/08/25 13:30,318.75,546,395.79999999999995,226.8,105.7,
2019/08/25 13:45,930.5,777,497.5,300.35,79.7,
2019/08/25 14:00,661,522,1003.5,472,70.4,
2019/08/25 14:15,563,680.5,383.1,376.85,64.25,
2019/08/25 14:30,472,636,716.5,574,56.75,
2019/08/25 14:45,87.65,366.3,682.5,814,48.449999999999996,
2019/08/25 15:00,66.95,97.95,719,850.5,45.85,
2019/08/25 15:15,55.85,82.75,252.10000000000002,607,46.75,
2019/08/25 15:30,58.35,54.5,130.29999999999998,482.5,42,
2019/08/25 15:45,33.035000000000004,48.6,105.8,314.1,40.85,
2019/08/25 16:00,24.52,36.21,85.5,402.5,39.275000000000006,
2019/08/25 16:15,21.795,30.875,66.65,494.5,38.14,
2019/08/25 16:30,22.705000000000002,28.72,59.5,477.5,36.55,
2019/08/25 16:45,18.275,21.34,43.150000000000006,211.70000000000002,35.644999999999996,
2019/08/25 17:00,17.48,20.43,41.1,157.55,63.8,
2019/08/25 17:15,16.12,20.43,34.28,156.64999999999998,35.074999999999996,
2019/08/25 17:30,14.985,19.75,31.669999999999998,191.6,31.894999999999996,
2019/08/25 17:45,14.645,17.71,28.605,198.64999999999998,34.735,
2019/08/25 18:00,10.215,13.17,21.57,149.14999999999998,92.85,
2019/08/25 18:15,7.49,9.76,16.345,77.85,56.65,
2019/08/25 18:30,4.995,5.675,9.875,23.155,34.51,
2019/08/25 18:45,2.6100000000000003,3.4050000000000002,4.3149999999999995,9.31,12.26,
2019/08/25 19:00,0,0,1.02,2.9499999999999997,2.9499999999999997,
2019/08/25 19:15,0,0,0,0,0,
2019/08/25 19:30,0,0,0,0,0,
2019/08/25 19:45,0,0,0,0,0,
2019/08/25 20:00,0,0,0,0,0,
2019/08/25 20:15,0,0,0,0,0,
2019/08/25 20:30,0,0,0,0,0,
