Please note that (-9999) indicates a null value
Relative humidity (RH) [%]

DateTime,TRF_NWTower_100_HMP45,TRF_NWTower_300_HMP45,TRF_NWTower_700_HMP45,TRF_NWTower_1300_HMP45
2019/08/25 00:00,94.7,94.7,89.8,88.5,
2019/08/25 00:15,94.6,94.7,89.8,88.5,
2019/08/25 00:30,94.6,94.7,89.6,88.4,
2019/08/25 00:45,94.5,94.7,89.6,88.4,
2019/08/25 01:00,94.4,94.7,89.4,88.4,
2019/08/25 01:15,94.2,94.7,89.3,88.4,
2019/08/25 01:30,94.2,94.7,89.2,88.4,
2019/08/25 01:45,94.2,94.8,89.3,88.5,
2019/08/25 02:00,94.2,94.8,89.4,88.6,
2019/08/25 02:15,94.3,94.8,89.3,88.6,
2019/08/25 02:30,94.4,94.8,89.3,88.7,
2019/08/25 02:45,94.4,94.8,89.3,88.8,
2019/08/25 03:00,94.3,94.8,89.3,88.9,
2019/08/25 03:15,94.4,94.8,89.2,88.9,
2019/08/25 03:30,94.4,94.8,89.3,88.9,
2019/08/25 03:45,94.4,94.8,89.3,88.9,
2019/08/25 04:00,94.5,94.8,89.4,89,
2019/08/25 04:15,94.7,94.8,89.4,89,
2019/08/25 04:30,94.7,94.8,89.4,89.1,
2019/08/25 04:45,94.7,94.8,89.4,89.1,
2019/08/25 05:00,94.7,94.8,89.5,89.2,
2019/08/25 05:15,94.6,94.8,89.7,89.2,
2019/08/25 05:30,94.6,94.9,89.7,89.3,
2019/08/25 05:45,94.5,94.8,89.7,89.3,
2019/08/25 06:00,94.6,94.9,89.8,89.3,
2019/08/25 06:15,94.5,94.9,89.9,89.3,
2019/08/25 06:30,94.7,95,90.1,89.3,
2019/08/25 06:45,94.8,95.2,90.4,89.3,
2019/08/25 07:00,95,95.4,90.5,89.3,
2019/08/25 07:15,95.4,95.4,90.6,89.4,
2019/08/25 07:30,94.4,95.7,91,89.4,
2019/08/25 07:45,93.8,95.8,91,88.7,
2019/08/25 08:00,93.9,95.7,90.9,87.6,
2019/08/25 08:15,95,95.7,90.7,86.5,
2019/08/25 08:30,95.7,95.6,90.1,85.1,
2019/08/25 08:45,95.3,95.2,87.6,82.1,
2019/08/25 09:00,95,94.8,86.1,80.7,
2019/08/25 09:15,95.1,94.3,85.6,80.4,
2019/08/25 09:30,94.8,93.6,84.5,78.64,
2019/08/25 09:45,94.6,93,84.8,78.35,
2019/08/25 10:00,94.9,92.9,86,77.96,
2019/08/25 10:15,94.8,92.7,85.2,77.2,
2019/08/25 10:30,94.9,92.7,85.9,77.24,
2019/08/25 10:45,95.3,93.1,86,76.9,
2019/08/25 11:00,95.3,93.2,84.7,75.13,
2019/08/25 11:15,94.9,92.4,82.1,73.36,
2019/08/25 11:30,94.9,93,82.6,73.1,
2019/08/25 11:45,94.8,92.8,81.2,70.86,
2019/08/25 12:00,94.9,92.2,77.95,67.88,
2019/08/25 12:15,94.7,91.5,76.47,66.82,
2019/08/25 12:30,94.4,91.2,76.14,65.96,
2019/08/25 12:45,94.5,91,76.87,64.87,
2019/08/25 13:00,94.3,89.9,74.36,62.24,
