Please note that (-9999) indicates a null value
Temperature (AirTempC) [degC]

DateTime,TRF_NWTower_100_HMP45,TRF_NWTower_300_HMP45,TRF_NWTower_700_HMP45,TRF_NWTower_1300_HMP45
2019/08/25 00:00,22.69,24.21,24.46,24.33,
2019/08/25 00:15,22.67,24.14,24.44,24.27,
2019/08/25 00:30,22.64,24.04,24.36,24.2,
2019/08/25 00:45,22.64,23.93,24.29,24.12,
2019/08/25 01:00,22.59,23.8,24.19,24.03,
2019/08/25 01:15,22.53,23.71,24.11,23.94,
2019/08/25 01:30,22.48,23.61,24.03,23.83,
2019/08/25 01:45,22.44,23.52,23.95,23.75,
2019/08/25 02:00,22.36,23.43,23.9,23.65,
2019/08/25 02:15,22.3,23.37,23.82,23.57,
2019/08/25 02:30,22.25,23.3,23.74,23.5,
2019/08/25 02:45,22.19,23.24,23.68,23.42,
2019/08/25 03:00,22.1,23.18,23.6,23.34,
2019/08/25 03:15,22.04,23.14,23.53,23.26,
2019/08/25 03:30,21.97,23.06,23.45,23.17,
2019/08/25 03:45,21.91,22.99,23.36,23.12,
2019/08/25 04:00,21.89,22.91,23.28,23.02,
2019/08/25 04:15,21.82,22.84,23.23,22.96,
2019/08/25 04:30,21.75,22.76,23.17,22.89,
2019/08/25 04:45,21.69,22.7,23.11,22.82,
2019/08/25 05:00,21.64,22.65,23.04,22.78,
2019/08/25 05:15,21.59,22.58,22.98,22.7,
2019/08/25 05:30,21.56,22.55,22.91,22.66,
2019/08/25 05:45,21.51,22.52,22.88,22.62,
2019/08/25 06:00,21.51,22.47,22.83,22.59,
2019/08/25 06:15,21.47,22.41,22.8,22.58,
2019/08/25 06:30,21.55,22.45,22.83,22.67,
2019/08/25 06:45,21.63,22.66,23.05,22.91,
2019/08/25 07:00,21.77,22.9,23.29,23.2,
2019/08/25 07:15,22.11,23.17,23.63,23.74,
2019/08/25 07:30,22.32,23.7,24.18,24.46,
2019/08/25 07:45,22.75,24.3,24.66,24.99,
2019/08/25 08:00,23.14,24.65,25.09,25.5,
2019/08/25 08:15,23.47,24.98,25.52,26.17,
2019/08/25 08:30,23.99,25.37,26.12,27.03,
2019/08/25 08:45,24.1,25.33,26.49,27.68,
2019/08/25 09:00,24.14,25.45,26.79,28.04,
2019/08/25 09:15,24.29,25.67,27.06,28.3,
2019/08/25 09:30,24.29,25.81,27.09,28.44,
2019/08/25 09:45,24.16,25.75,26.68,28.29,
2019/08/25 10:00,24.25,25.81,26.71,28.54,
2019/08/25 10:15,24.31,25.91,26.85,28.67,
2019/08/25 10:30,24.38,26.01,26.92,28.89,
2019/08/25 10:45,24.77,26.45,27.65,29.6,
2019/08/25 11:00,25.12,27.02,28.63,30.73,
2019/08/25 11:15,25.25,27.24,29.19,31.13,
2019/08/25 11:30,25.4,27.77,29.9,32.25,
2019/08/25 11:45,25.6,28.25,30.7,33.4,
2019/08/25 12:00,25.68,28.63,31.49,34.4,
2019/08/25 12:15,25.78,28.9,31.98,34.84,
2019/08/25 12:30,25.84,29.27,32.34,35.4,
2019/08/25 12:45,26.06,29.72,32.86,36.54,
2019/08/25 13:00,26.17,29.9,33.23,37.01,
2019/08/25 13:15,26.32,30.29,33.84,38.11,
2019/08/25 13:30,26.57,30.73,34.62,39.55,
2019/08/25 13:45,26.76,31.09,35.33,40.36,
2019/08/25 14:00,26.92,31.41,35.74,40.77,
2019/08/25 14:15,27.04,31.71,36.33,41.62,
2019/08/25 14:30,27.2,31.87,36.85,41.99,
2019/08/25 14:45,27.27,31.96,37.28,42.07,
2019/08/25 15:00,27.17,32.07,37.46,42.61,
2019/08/25 15:15,27.19,32.14,38.06,43.32,
2019/08/25 15:30,27.21,31.99,38.53,43.81,
2019/08/25 15:45,27.15,31.7,38.15,43.7,
2019/08/25 16:00,27.1,31.47,37.41,43.64,
