Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_STower_100_SQ-110,TRF_STower_300_SQ-110,TRF_STower_700_SQ-110,TRF_STower_1300_SQ-110,TRF_STower_2000_SQ-110
2019/08/25 00:00,2.09,1.6400000000000001,1.6400000000000001,1.525,1.4149999999999998,
2019/08/25 00:15,1.98,1.6400000000000001,1.75,1.75,1.6400000000000001,
2019/08/25 00:30,1.75,1.6400000000000001,0.96,1.865,1.3,
2019/08/25 00:45,1.98,2.205,1.3,1.6400000000000001,1.75,
2019/08/25 01:00,1.865,1.865,1.4149999999999998,1.75,1.6400000000000001,
2019/08/25 01:15,1.98,1.3,1.865,1.98,1.525,
2019/08/25 01:30,1.98,1.75,1.98,1.525,1.865,
2019/08/25 01:45,1.98,2.205,1.75,1.98,1.3,
2019/08/25 02:00,1.865,1.75,1.525,1.865,1.525,
2019/08/25 02:15,2.205,2.205,2.09,1.6400000000000001,1.3,
2019/08/25 02:30,1.98,1.75,1.98,1.98,1.185,
2019/08/25 02:45,1.4149999999999998,2.09,1.75,1.865,1.6400000000000001,
2019/08/25 03:00,1.525,1.75,1.525,2.205,1.6400000000000001,
2019/08/25 03:15,1.865,2.205,1.75,1.865,2.205,
2019/08/25 03:30,1.525,1.525,1.525,1.75,1.865,
2019/08/25 03:45,1.865,1.865,1.185,1.98,1.3,
2019/08/25 04:00,1.6400000000000001,1.865,1.865,1.865,1.6400000000000001,
2019/08/25 04:15,1.75,1.98,1.865,1.75,1.865,
2019/08/25 04:30,1.98,1.6400000000000001,1.6400000000000001,1.4149999999999998,1.6400000000000001,
2019/08/25 04:45,1.4149999999999998,1.865,1.6400000000000001,2.09,1.525,
2019/08/25 05:00,1.525,1.98,1.6400000000000001,1.865,1.525,
2019/08/25 05:15,1.865,1.865,1.4149999999999998,1.75,1.865,
2019/08/25 05:30,2.315,1.185,1.75,1.98,1.98,
2019/08/25 05:45,1.865,2.315,1.6400000000000001,2.315,1.75,
2019/08/25 06:00,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.6550000000000002,1.98,
2019/08/25 06:15,3.5599999999999996,4.35,4.805,6.5,2.545,
2019/08/25 06:30,6.5,8.195,9.1,10.794999999999998,2.7700000000000005,
2019/08/25 06:45,8.875,10.57,11.81,14.41,2.995,
2019/08/25 07:00,13.395,15.43,17.915,20.97,4.465,
2019/08/25 07:15,17.805,19.5,21.305,28.655,5.9350000000000005,
2019/08/25 07:30,17.125,19.61,21.195,26.055,5.9350000000000005,
2019/08/25 07:45,18.37,20.630000000000003,23.115000000000002,27.185000000000002,5.819999999999999,
2019/08/25 08:00,19.950000000000003,23.68,28.655,33.625,6.2749999999999995,
2019/08/25 08:15,24.47,31.48,37.585,50.9,9.21,
2019/08/25 08:30,31.14,39.955,47.1,60.55,9.44,
2019/08/25 08:45,34.53,43.449999999999996,50.8,63.150000000000006,9.89,
2019/08/25 09:00,35.66,46.3,52.95,64.95,10.794999999999998,
2019/08/25 09:15,36.905,46.849999999999994,54.3,62.1,9.775,
2019/08/25 09:30,25.6,31.705000000000002,37.019999999999996,42.55,7.8549999999999995,
