Please note that (-9999) indicates a null value
Relative humidity (RH) [%]

DateTime,TRF_STower_100_HMP45,TRF_STower_300_HMP45,TRF_STower_700_HMP45,TRF_STower_1300_HMP45,TRF_STower_2000_HMP45
2019/08/25 00:00,99.4,96.9,92.7,101,98.5,
2019/08/25 00:15,99.4,96.80000000000001,92.60000000000001,101,98.5,
2019/08/25 00:30,99.4,96.80000000000001,92.5,101,98.5,
2019/08/25 00:45,99.4,96.9,92.5,100.9,98.5,
2019/08/25 01:00,99.4,96.9,92.5,100.9,98.5,
2019/08/25 01:15,99.4,96.9,92.4,100.80000000000001,98.5,
2019/08/25 01:30,99.5,96.9,92.4,100.80000000000001,98.5,
2019/08/25 01:45,99.5,97,92.4,100.80000000000001,98.5,
2019/08/25 02:00,99.5,97,92.30000000000001,100.7,98.5,
2019/08/25 02:15,99.5,97,92.30000000000001,100.7,98.5,
2019/08/25 02:30,99.5,97,92.30000000000001,100.7,98.5,
2019/08/25 02:45,99.5,97,92.2,100.7,98.5,
2019/08/25 03:00,99.5,97,92.2,100.7,98.5,
2019/08/25 03:15,99.60000000000001,97,92.2,100.7,98.5,
2019/08/25 03:30,99.5,97,92.2,100.7,98.5,
2019/08/25 03:45,99.5,97,92.2,100.7,98.5,
2019/08/25 04:00,99.5,97,92.2,100.60000000000001,98.5,
2019/08/25 04:15,99.5,97,92.2,100.60000000000001,98.5,
2019/08/25 04:30,99.5,97,92.2,100.60000000000001,98.60000000000001,
2019/08/25 04:45,99.4,97,92.2,100.60000000000001,98.60000000000001,
2019/08/25 05:00,99.4,97,92.2,100.60000000000001,98.60000000000001,
2019/08/25 05:15,99.4,97,92.2,100.60000000000001,98.60000000000001,
2019/08/25 05:30,99.5,97,92.10000000000001,100.7,98.60000000000001,
2019/08/25 05:45,99.4,97,92.10000000000001,100.60000000000001,98.60000000000001,
2019/08/25 06:00,99.4,97,92.10000000000001,100.60000000000001,98.60000000000001,
2019/08/25 06:15,99.5,97,92.10000000000001,100.60000000000001,98.60000000000001,
2019/08/25 06:30,99.60000000000001,97.2,92.10000000000001,100.7,98.60000000000001,
2019/08/25 06:45,99.60000000000001,97.10000000000001,91.9,100.4,98.4,
2019/08/25 07:00,99.5,97.10000000000001,91.80000000000001,100.30000000000001,98.2,
2019/08/25 07:15,99.5,97.10000000000001,91.7,100.5,98,
2019/08/25 07:30,99.4,97.10000000000001,91.60000000000001,100.10000000000001,97.7,
2019/08/25 07:45,99.30000000000001,97.10000000000001,91.30000000000001,99.7,97.4,
2019/08/25 08:00,99.10000000000001,97.10000000000001,91.10000000000001,99.5,97.2,
2019/08/25 08:15,98.80000000000001,96.5,90.30000000000001,98.60000000000001,97.5,
2019/08/25 08:30,98.80000000000001,96.60000000000001,91.5,97.60000000000001,96.9,
2019/08/25 08:45,98.80000000000001,96.7,91.9,98.60000000000001,94,
2019/08/25 09:00,98.80000000000001,96.7,91.9,98.60000000000001,92.7,
2019/08/25 09:15,98.80000000000001,96.7,91.9,98.7,92.10000000000001,
2019/08/25 09:30,98.7,96.5,91.9,98.60000000000001,91.10000000000001,
2019/08/25 09:45,98.7,96.5,91.80000000000001,98.80000000000001,91.7,
2019/08/25 10:00,98.60000000000001,96.4,91.80000000000001,98.7,91.60000000000001,
2019/08/25 10:15,98.60000000000001,96.30000000000001,91.80000000000001,98.80000000000001,90.80000000000001,
2019/08/25 10:30,98.60000000000001,96.30000000000001,91.80000000000001,98.9,92,
2019/08/25 10:45,98.7,96.4,91.9,98.80000000000001,92.10000000000001,
2019/08/25 11:00,98.7,96.4,91.80000000000001,98.7,88.9,
2019/08/25 11:15,98.7,96.30000000000001,91.80000000000001,98.7,89.4,
2019/08/25 11:30,98.60000000000001,96.30000000000001,91.80000000000001,98,86.10000000000001,
2019/08/25 11:45,98.60000000000001,96.30000000000001,91.80000000000001,97.9,86.2,
2019/08/25 12:00,98.5,96.10000000000001,91.60000000000001,96.80000000000001,83.4,
2019/08/25 12:15,98.4,96.10000000000001,91.7,96.7,84.4,
2019/08/25 12:30,98.30000000000001,95.9,91.5,96.4,82.80000000000001,
2019/08/25 12:45,98.2,95.9,91.4,95.9,80.7,
2019/08/25 13:00,98.10000000000001,95.7,91.30000000000001,95.4,79.09,
2019/08/25 13:15,98,95.60000000000001,91.30000000000001,93.9,77.74000000000001,
2019/08/25 13:30,97.80000000000001,95.5,91.2,93.60000000000001,74.96000000000001,
2019/08/25 13:45,97.60000000000001,95.30000000000001,91,92.10000000000001,72.3,
2019/08/25 14:00,97.4,95.10000000000001,90.9,90.9,70.62,
2019/08/25 14:15,97.2,95,90.80000000000001,89.7,68.19,
2019/08/25 14:30,97.10000000000001,94.9,90.7,89.5,66.17999999999999,
2019/08/25 14:45,97,94.7,90.7,89,64.57000000000001,
2019/08/25 15:00,97,94.7,90.60000000000001,88.9,63.56,
2019/08/25 15:15,96.80000000000001,94.60000000000001,90.60000000000001,88.5,62.760000000000005,
2019/08/25 15:30,96.7,94.5,90.4,89,65.01,
2019/08/25 15:45,96.80000000000001,94.5,90.4,88.4,67.10000000000001,
2019/08/25 16:00,96.9,94.4,90.4,88.60000000000001,68.01,
2019/08/25 16:15,96.9,94.4,90.4,88.80000000000001,67.75,
2019/08/25 16:30,96.9,94.30000000000001,90.30000000000001,88.60000000000001,68.26,
2019/08/25 16:45,96.9,94.30000000000001,90.30000000000001,88.9,68.73,
2019/08/25 17:00,96.80000000000001,94.2,90.2,88.9,69.81,
2019/08/25 17:15,96.80000000000001,94.30000000000001,90.30000000000001,88.80000000000001,70.17999999999999,
2019/08/25 17:30,96.80000000000001,94.2,90.30000000000001,89.4,70.65,
2019/08/25 17:45,97.4,95.2,89.80000000000001,90.4,74.39,
2019/08/25 18:00,97.5,95.9,86.9,89.10000000000001,82.30000000000001,
2019/08/25 18:15,96.60000000000001,95.7,85.80000000000001,88.80000000000001,86.4,
2019/08/25 18:30,94.80000000000001,95.4,85,88.60000000000001,87.9,
2019/08/25 18:45,93.4,94.7,84.5,88.5,88.80000000000001,
2019/08/25 19:00,92.60000000000001,92.2,84.60000000000001,88.60000000000001,89.5,
2019/08/25 19:15,92,89.80000000000001,85,89,90.30000000000001,
2019/08/25 19:30,91.4,89.4,85.5,89.5,91,
2019/08/25 19:45,91.10000000000001,89.7,86,90.10000000000001,91.80000000000001,
2019/08/25 20:00,90.7,90.10000000000001,86.4,90.60000000000001,92.2,
2019/08/25 20:15,90.60000000000001,90.60000000000001,86.80000000000001,91.10000000000001,92.7,
2019/08/25 20:30,90.4,91,87.10000000000001,91.4,93,
2019/08/25 20:45,90.2,91.4,87.30000000000001,91.80000000000001,93.30000000000001,
2019/08/25 21:00,90,91.7,87.4,92,93.60000000000001,
2019/08/25 21:15,90.60000000000001,92.10000000000001,87.7,92.4,93.9,
2019/08/25 21:30,91.30000000000001,92.30000000000001,87.9,92.60000000000001,94.10000000000001,
2019/08/25 21:45,91.7,92.60000000000001,88,92.80000000000001,94.30000000000001,
2019/08/25 22:00,92,92.7,88.2,93,94.4,
2019/08/25 22:15,92.4,92.7,88.30000000000001,93.10000000000001,94.5,
2019/08/25 22:30,93.2,92.80000000000001,88.4,93.30000000000001,94.60000000000001,
2019/08/25 22:45,94.30000000000001,93,88.5,93.4,94.7,
2019/08/25 23:00,94.9,93.10000000000001,88.60000000000001,93.5,94.80000000000001,
2019/08/25 23:15,95.2,93.2,88.7,93.60000000000001,94.9,
2019/08/25 23:30,95.4,93.30000000000001,88.80000000000001,93.7,94.9,
